group_name,description
레티놀 계열,"레티놀, 레티날, 레티놀 팔미테이트, 레티닐 프로피오네이트 등 비타민A 유도체 전체. The Ordinary 충돌 차트의 핵심 그룹."
AHA 계열,"글리콜산, 젖산, 만델릭산, 타르타르산, 사과산 등 알파하이드록시산 계열. 각질 제거 및 pH 낮춤 특성으로 레티놀과 충돌."
BHA 계열,"살리실산 등 베타하이드록시산 계열. 지용성으로 모공 깊이 침투. AHA와 유사한 산성 환경 형성."
비타민C 계열,"아스코르브산(순수 비타민C) 및 아스코르빌글루코사이드, 에틸아스코르빌에테르, 아스코르빌 테트라이소팔미테이트 등 유도체 전체."
펩타이드 계열,"마트릭실(Palmitoyl Pentapeptide-4), 아르기렐린, 레아노린 등 일반 펩타이드. 산성 환경(AHA/BHA)에서 구조 변성 가능."
구리 펩타이드 계열,"GHK-Cu 등 구리 이온이 결합된 펩타이드. 구리 이온이 레티놀을 산화시켜 효력 상실 유발."
아연 계열,"아연 설페이트, PCA 아연, 아연 옥사이드 등 아연 함유 성분. 비타민C와 결합 시 안정성 저하."
EGF 및 성장인자 계열,"EGF(표피성장인자), bFGF 등 성장인자 계열. 산성 환경에서 단백질 구조 변성."
히알루론산 계열,"소듐하이알루로네이트, 하이알루로닉애씨드 등 히알루론산 및 유도체 전체. 고분자/저분자 구분 없이 포함."
나이아신아마이드 계열,"나이아신아마이드(비타민B3). 미백·모공 수렴·피지 조절 기능성 성분."
세라마이드 계열,"세라마이드, 콜레스테롤, 피토스핑고신 등 피부 장벽 구성 지질 성분."
보습제 계열,"글리세린, 부틸렌글라이콜, 베타인, 트레할로스 등 수분 흡착·보유 기능 성분."
진정 성분 계열,"알란토인, 판테놀, 마데카소사이드, 병풀추출물 등 피부 진정·재생·항염 기능 성분."
에몰리언트 계열,"스쿠알란, 오일류, 지방산 등 피부 표면 보호막 형성 및 유연성 부여 성분."
실리콘 계열,"다이메티콘, 다이메티콘올 등 실리콘 기반 에몰리언트·피막형성 성분."
항산화제 계열,"토코페롤, BHT, 베타-카로틴 등 산화 방지 및 세포 보호 기능 성분."
유화제 계열,"폴리글리세릴류, 레시틴, 글루코사이드류 등 수상-유상 안정화 성분."
점증제 계열,"카보머, 잔탄검, 폴리아크릴레이트류 등 제형 점도 조절 성분."
방부제 계열,"1,2-헥산다이올, 에틸헥실글리세린, 펜틸렌글라이콜 등 제품 보존성 유지 성분."
pH 조절제 계열,"트로메타민, 소듐시트레이트, 알지닌 등 제형 pH 안정화 성분."
킬레이트제 계열,"다이소듐이디티에이 등 금속 이온 봉쇄로 산화 방지 보조 역할 성분."
발효 성분 계열,"효모발효물, 락토바실러스발효물 등 발효 공정을 거친 피부 컨디셔닝 성분."
향료 계열,"에센셜오일, 플로럴워터 등 향기 부여 성분. 민감성 피부 자극 가능성."
주름개선 성분 계열,"아데노신 등 식약처 인정 주름개선 기능성 성분."
기본 베이스 계열,"정제수, 해수 등 제형의 기본 매질 역할 성분."
질감조절제 계열,"실리카 등 제품 질감·텍스처 조절 성분."
